gene	SRR14872404	SRR14872403	SRR14872402	SRR14872401
ENSG00000114491	10.645332539551156	10.774568630007423	10.44049859976588	10.455536419721485
ENSG00000114503	11.941675683536227	11.868676448628348	11.770756405430287	11.809048501933871
ENSG00000114520	11.153054714879815	11.10556826504767	11.008634025083989	11.14397349692574
ENSG00000114529	7.929262221356853	7.850810688977711	7.95388879464952	7.8687476089164345
ENSG00000114541	11.282829462455792	11.214451684252921	11.35751131979617	11.468969374166058
ENSG00000114544	10.928591484253923	10.950430880018143	11.089309607573442	11.05427032300331
ENSG00000114547	7.701723993035714	7.700000670427692	7.70095326268508	7.667136941698986
ENSG00000114554	12.825018013291084	12.902045854675471	12.689431794875597	12.661339938392487
ENSG00000114573	11.374056499697565	11.376580887638779	11.414193790969154	11.489690724361443
ENSG00000114626	8.592043533594701	8.733176541589907	8.69273760280485	8.713767531383054
ENSG00000114631	11.779142242892911	11.763856538534817	11.6605819108941	11.662031928301621
ENSG00000114638	8.015546210973316	8.010938315846726	8.158820822593635	8.132461904364677
ENSG00000114646	7.799054428907863	7.700000670427692	7.7770834716360735	7.777005268737244
ENSG00000114648	9.397303870169896	9.30819266056941	9.268850713587652	9.150291142375858
ENSG00000114650	11.361375401651197	11.334006872094099	11.461051917144317	11.386724374992305
ENSG00000114656	8.36609033002039	8.345685908580728	8.349884722862942	8.238619485348071
ENSG00000114670	7.6678119417837465	7.666403901369501	7.835380697355705	7.700897852632935
ENSG00000114686	12.30241221636997	12.241822717443716	12.303211615253439	12.262836777417899
ENSG00000114698	7.83671022506891	7.7964291086496145	7.623140705236028	7.754381533505242
ENSG00000114735	9.116600862388047	9.082465962445958	9.161973969362641	9.155921997109699
ENSG00000114737	8.657564315113659	8.761499195322974	8.57313964900729	8.592262474753188
ENSG00000114738	9.201385490571774	9.30819266056941	9.26115764568084	9.245156452625778
ENSG00000114739	12.271323238564307	12.34539774670697	11.94501468592791	12.02591148004258
ENSG00000114742	11.438453434433939	11.442269336922319	11.638127269049644	11.607627327219102
ENSG00000114744	10.701085626870555	10.746362787191604	10.794108928666072	10.832150676526899
ENSG00000114745	10.831520775744156	10.879790828806719	10.971573877805154	10.964336957218164
ENSG00000114757	9.694008276322677	9.815626595051416	9.340809066755895	9.564651477463231
ENSG00000114767	9.749858263733886	9.68228607039893	9.583198690461789	9.656064504365082
ENSG00000114770	11.839097449154126	11.866003811709158	11.608400173285494	11.679717386900968
ENSG00000114779	10.067039727972954	10.034000364612702	10.199615958847874	10.133543580348563
ENSG00000114784	11.73375393665145	11.74443925095722	12.083242450536963	12.095002606843126
ENSG00000114786	7.755446628273928	7.938750150449448	7.990578409187492	8.123472553353839
ENSG00000114790	9.920129453888562	9.825473099582126	9.877401784134888	9.895746163653538
ENSG00000114796	11.594875997858214	11.676731069202587	11.782673457751622	11.876885798327685
ENSG00000114805	8.886606087889351	8.853021796953563	8.787439477501717	8.880899875629774
ENSG00000114812	7.915363923458755	7.897386695173155	7.852541728021349	8.095617974643693
ENSG00000114841	8.450309860155366	8.475183112033662	8.375195050415027	8.405447712053963
