gene	SRR20648572	SRR20648573	SRR20648574	SRR20648575	SRR20648576	SRR20648577	SRR20648578	SRR20648579
HERV3	4.565553856986093	4.491702072753389	4.511078028553306	4.772440149137713	5.471905032573567	4.612492616523784	3.889232562569769	4.37921213100987
HERV35I	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
HERV4_I	3.8582143983877666	4.661867469300253	4.114208467880133	3.410984076010733	3.80494216551769	4.061963091744883	3.2860753439494483	3.3914637096138516
HERV49I	2.8866862607683226	2.905424097567999	2.8874266771220665	3.410984076010733	3.80494216551769	4.271594497166783	1.9219144989347916	2.9825080922123615
HERV9	6.653119567104009	6.792590400742024	6.887872245474349	6.438944681541362	6.847023663770284	6.317912968012476	6.702006087821762	6.6214409595927775
HERVE_a	6.575316978448651	7.112069550543419	6.523121025285591	6.40926366271451	7.3304498170030685	6.761915676379811	6.018215755669803	6.345064100764364
HERVH	7.4692913936308605	7.248648420239962	6.78781452072594	6.332262509994668	7.584222230190842	7.2383452012943446	5.725394904153387	5.978126906300755
HERVI	1.9219144989347916	2.905424097567999	2.610881488007148	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
HERVIP10F	5.951039482168811	6.412726458075823	5.706543566397808	5.683142451190143	7.517551159603501	6.8890098157075546	5.725394904153387	6.225983208299763
HERVIP10FH	5.465489483050582	5.598825755664869	5.03034228564389	5.755926059636421	6.574332466621738	7.363948772746024	6.097464477024214	5.902364180503606
HERVK	6.938436894660128	6.681069474755397	7.375233446740137	6.96254210373424	8.522275931577832	7.720557281460082	7.311800347645063	8.076245275349414
HERVK11DI	2.8866862607683226	3.1155831807986503	3.4102845566262454	3.094670463616217	3.492211908856936	3.498181199534863	3.2860753439494483	2.9825080922123615
HERVK11I	6.0883285610902815	6.546089953489675	5.282276962926563	5.954374341477266	7.384904916396121	6.640684567833955	5.509935163644537	5.766432965960918
HERVK22I	6.989292519586096	6.939802540725702	6.616868967681458	6.765977060189951	7.89303442842203	7.479477623203741	6.663533039236079	6.712768901117633
HERVK3I	2.8866862607683226	3.2882573111128117	2.610881488007148	2.88790240015834	3.058304564007137	3.3026217371796864	2.9038003422545713	2.9825080922123615
HERVK9I	7.783388971531176	8.067915441017963	7.568432788936358	7.752047499345741	9.247395826770402	8.737567383463453	7.446196909845834	7.893358597723072
HERVKC4	2.61034376157401	2.905424097567999	4.327263165061498	3.6566503194292928	4.876065340330672	5.900883249685117	4.603839176111354	5.129758488602961
HERVL	8.431276966582704	8.724573304654118	8.185481449569133	8.173761586591093	8.795741450616374	8.183913666420686	7.541128519768856	8.248723388532627
HERVL66I	4.187588326582305	4.607456301386732	4.259966737579496	4.260954109153075	5.2051954199791775	4.945939241629342	3.7904428332938234	4.126419071767136
HERVS71	3.5383694466493383	3.436718378096449	3.7619105065567755	3.2646949345634355	3.2972847990202836	3.498181199534863	2.9038003422545713	3.3914637096138516
HUERS-P1	5.436267503763064	5.938699620378587	5.578678209289588	5.707818214669991	6.3515016049405215	6.6938961581905145	5.674504419105086	5.584151265008767
IN25	1.9219144989347916	2.6239585961779044	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
L1	7.269898349131153	7.291441705495652	7.0880850503167165	6.952298119317508	8.238750842364873	7.858860989707535	6.344724354212938	7.041031409193389
L1HS	5.7761032896207105	6.062806408343499	6.013536136299851	5.779385728424992	7.341506692898559	6.90413574832941	5.868016700469827	5.978126906300755
L1M1_5	5.629238684296419	6.230886723701674	5.346714840720007	5.825180474745072	7.416616939705435	8.006218809780217	5.4805583093373675	4.988995310922755
L1M1B_5	3.2630581307408306	3.1155831807986503	3.094102428390186	3.2646949345634355	4.746568012759509	4.271594497166783	3.113645914726882	3.549227241847885
L1M2_5	1.9219144989347916	1.9219144989347916	2.8874266771220665	1.9219144989347916	2.7355721155082593	1.9219144989347916	1.9219144989347916	1.9219144989347916
L1M2A1_5	1.9219144989347916	2.6239585961779044	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
L1M2C_5	3.8582143983877666	4.225567971255837	3.264054679724886	3.9510643960425234	5.859760780586889	6.488338995682756	4.36178261242261	3.549227241847885
L1MA1	6.750714693820556	6.7685440920954365	6.377611045469473	6.453558441312766	8.597960213924086	8.279730908268474	6.20868570488254	6.419297723998887
L1MA2	6.588579859030926	6.70660950604551	6.16331791108588	6.438944681541362	8.607147512468805	8.268096141499731	6.116610600665679	6.096121269671293
L1MA3	5.971476222873736	6.195200353108329	5.706543566397808	5.497308298391999	8.015412690867292	7.851082529445278	5.538717747480098	5.766432965960918
L1MA4	4.450913751280794	4.0695172267309285	3.6558575747463546	4.035703981635944	5.58856195935692	5.214976250712205	2.6227782436991225	3.3914637096138516
L1MA4A	4.033350322739282	3.8921684169776043	3.4102845566262454	2.88790240015834	5.6963862464128034	6.1753544154128	3.2860753439494483	3.549227241847885
L1MA5	3.2630581307408306	3.983898420842019	3.4102845566262454	3.6566503194292928	5.344813187750484	5.522038164174511	3.434336028203941	3.3914637096138516
L1MA5A	3.948779412147916	3.983898420842019	3.264054679724886	3.5402858155090633	5.471905032573567	5.598825755664869	2.9038003422545713	3.207373671340205
L1MA6	3.5383694466493383	2.905424097567999	2.8874266771220665	1.9219144989347916	4.526307854220672	3.811839559062721	2.6227782436991225	2.680113950725503
L1MA7	3.2630581307408306	3.1155831807986503	1.9219144989347916	2.88790240015834	3.492211908856936	3.0628130186283755	2.6227782436991225	1.9219144989347916
L1MA8	3.4091957371070576	3.436718378096449	2.610881488007148	3.2646949345634355	4.444255138126982	3.811839559062721	2.6227782436991225	2.680113950725503
L1MA9	2.61034376157401	3.2882573111128117	2.610881488007148	2.88790240015834	4.526307854220672	3.498181199534863	3.113645914726882	2.9825080922123615
L1MB2	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7355721155082593	2.7388786571413646	2.6227782436991225	1.9219144989347916
L1MB3	2.8866862607683226	2.905424097567999	2.8874266771220665	3.6566503194292928	4.6037115810687474	3.811839559062721	3.113645914726882	2.680113950725503
L1MB3_5	3.093218311550727	2.905424097567999	3.264054679724886	3.2646949345634355	4.444255138126982	5.214976250712205	1.9219144989347916	3.207373671340205
L1MB4	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
L1MB5	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.7355721155082593	1.9219144989347916	1.9219144989347916	1.9219144989347916
L1MB7	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	3.6587204974948206	1.9219144989347916	2.9038003422545713	1.9219144989347916
L1MC1	3.7606177422305858	3.436718378096449	3.264054679724886	3.2646949345634355	4.526307854220672	4.534935750370226	3.2860753439494483	3.3914637096138516
L1MC3	2.61034376157401	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
L1MCA_5	2.8866862607683226	1.9219144989347916	2.610881488007148	2.88790240015834	3.80494216551769	3.0628130186283755	2.9038003422545713	3.688171444508304
L1P_MA2	6.896418281302385	7.299849947460048	6.536893608153731	6.834524508726867	9.082633254666185	9.232571307585262	6.714605176561985	6.401095775688663
L1P4a_5end	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6227782436991225	1.9219144989347916
L1P4e_5end	2.8866862607683226	2.6239585961779044	2.610881488007148	2.88790240015834	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
L1PA10	6.0883285610902815	6.641888684100858	5.730796950415845	6.053788884502731	7.517551159603501	7.047250004178556	5.255910955260164	5.584151265008767
L1PA11	5.909269510017141	6.230886723701674	5.377867590332209	5.732074701119827	7.363369156110673	6.826864961589426	5.220700490789697	5.483451761533909
L1PA12	5.465489483050582	5.938699620378587	5.143865192461105	5.145053937557429	7.507769915957644	6.658641334173774	4.547230988540819	4.52469471387927
L1PA12_5	3.4091957371070576	3.2882573111128117	3.094102428390186	2.6112269923567433	3.2972847990202836	3.0628130186283755	2.9038003422545713	2.9825080922123615
L1PA13	6.050426649999611	6.365372503790398	5.248923921324393	5.891234940279637	7.611877877298607	6.858272692799677	4.809546652130102	5.448236598630211
L1PA13_5	5.028524074368107	4.992598056314274	4.511078028553306	4.991528384483961	6.862466386126377	6.3624517808057846	3.7904428332938234	5.129758488602961
L1PA14	5.465489483050582	5.704455345366949	4.949221155069068	4.950373192465615	7.341506692898559	6.676376728847589	4.488180230940623	5.037499730537536
L1PA15	3.654623596115137	4.297199893432928	2.8874266771220665	3.2646949345634355	4.876065340330672	4.612492616523784	2.9038003422545713	3.3914637096138516
